State,County,FIPS,2010_Census_Population,Population_Estimate_2011,Population_Estimate_2012,Population_Estimate_2013,Population_Estimate_2014,Population_Estimate_2015,Population_Estimate_2016,Population_Estimate_2017,Population_Estimate_2018
West Virginia,Kanawha,54039,193063,192157,192234,191530,190353,188270,186162,183310,180454
Oklahoma,Osage,40113,47472,47783,47463,47394,47494,47342,47378,47328,47014
Oklahoma,Pottawatomie,40125,69442,70045,70514,70907,71539,71495,72041,72248,72679
Kansas,Wyandotte,20209,157505,158020,159411,160984,162320,163832,164934,165313,165324
Pennsylvania,Erie,42049,280566,281296,281523,280724,279437,278182,276289,273892,272061
Florida,St. Lucie,12111,277789,280420,282974,285370,290146,297442,305837,313400,321128
Florida,Flagler,12035,95696,97465,98447,99816,101922,104420,107351,109937,112067
Florida,Lee,12071,618754,631031,644243,659920,677361,699530,722386,739506,754610
Florida,Polk,12105,602095,609943,615486,622712,634520,648758,666236,685830,708009
Illinois,Macon,17115,110768,110671,110130,109563,108520,107363,106430,105533,104712
